------------------------------------------------------------
Client connecting to 10.0.100.5, UDP port 5060 with pid 57 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.9%uesimtun0 port 59125 connected with 10.0.100.5 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 19:22:27 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.554 ms 0/13 (0%) 24.415/20.330/28.567/6.835 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   2.205 ms 0/11 (0%) 23.596/20.462/28.032/2.364 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  16800 Bytes  134400 bits/sec   2.751 ms 0/12 (0%) 20.991/16.052/24.468/2.786 ms 11 pps 12/0(0) pkts 1
[ *1] 3.00-4.00 sec  15400 Bytes  123200 bits/sec   2.889 ms 0/11 (0%) 24.934/20.503/30.143/3.162 ms 11 pps 11/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   2.839 ms 0/11 (0%) 22.805/19.654/27.197/2.597 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   2.859 ms 0/12 (0%) 24.658/20.680/29.379/2.423 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.154 ms 0/11 (0%) 23.093/17.891/27.551/2.932 ms 12 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   2.775 ms 0/12 (0%) 22.853/19.919/26.383/2.223 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.050 ms 0/11 (0%) 24.913/16.556/28.661/3.744 ms 12 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.667 ms 0/12 (0%) 23.832/18.382/29.223/3.303 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   3.382 ms 0/11 (0%) 23.469/20.081/32.041/3.355 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   3.975 ms 0/11 (0%) 23.568/19.212/30.171/3.431 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   3.614 ms 0/12 (0%) 24.585/19.827/29.304/2.628 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   3.871 ms 0/11 (0%) 24.295/20.005/28.219/3.008 ms 11 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.419 ms 0/12 (0%) 23.661/16.354/28.629/3.695 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.871 ms 0/11 (0%) 25.248/20.993/29.571/3.099 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   4.347 ms 0/12 (0%) 23.606/17.262/28.516/3.477 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   3.488 ms 0/11 (0%) 22.706/20.112/26.366/1.994 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.998 ms 0/11 (0%) 23.509/17.686/31.616/3.729 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   3.044 ms 0/12 (0%) 22.496/18.517/25.815/2.250 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   2.508 ms 0/11 (0%) 21.727/20.119/26.071/1.635 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.794 ms 0/12 (0%) 21.398/16.617/27.981/3.354 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   3.801 ms 0/11 (0%) 24.708/19.928/29.022/3.188 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  16800 Bytes  134400 bits/sec   3.554 ms 0/12 (0%) 24.096/20.429/29.420/2.778 ms 11 pps 12/0(0) pkts 1
[ *1] 24.00-25.00 sec  15400 Bytes  123200 bits/sec   3.774 ms 0/11 (0%) 22.886/17.088/27.571/3.252 ms 11 pps 11/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   3.217 ms 0/11 (0%) 22.819/17.754/25.427/2.724 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   3.632 ms 0/12 (0%) 21.901/17.488/25.814/2.882 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   4.112 ms 0/11 (0%) 23.079/13.993/29.133/3.990 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   3.542 ms 0/12 (0%) 23.104/18.874/26.419/2.382 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   3.393 ms 0/11 (0%) 21.144/18.283/25.757/2.136 ms 11 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  16800 Bytes  134400 bits/sec   2.957 ms 0/12 (0%) 21.908/18.491/26.841/2.681 ms 11 pps 12/0(0) pkts 1
[ *1] 31.00-32.00 sec  15400 Bytes  123200 bits/sec   2.837 ms 0/11 (0%) 24.965/21.560/30.284/2.420 ms 11 pps 11/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   2.471 ms 0/11 (0%) 24.772/20.019/27.934/2.336 ms 11 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   3.012 ms 0/12 (0%) 23.515/19.986/28.536/2.774 ms 11 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   3.265 ms 0/11 (0%) 23.550/19.850/26.416/2.236 ms 11 pps 11/0(0) pkts 1
[ *1] 35.00-36.00 sec  16800 Bytes  134400 bits/sec   2.582 ms 0/12 (0%) 23.638/20.400/26.417/1.785 ms 11 pps 12/0(0) pkts 1
[ *1] 36.00-37.00 sec  15400 Bytes  123200 bits/sec   3.252 ms 0/11 (0%) 24.549/21.034/30.547/2.818 ms 11 pps 11/0(0) pkts 1
[ *1] 37.00-38.00 sec  15400 Bytes  123200 bits/sec   2.572 ms 0/11 (0%) 22.724/18.784/25.270/1.786 ms 11 pps 11/0(0) pkts 1
[ *1] 38.00-39.00 sec  16800 Bytes  134400 bits/sec   3.869 ms 0/12 (0%) 23.383/18.165/28.948/3.772 ms 11 pps 12/0(0) pkts 1
[ *1] 39.00-40.00 sec  15400 Bytes  123200 bits/sec   2.799 ms 0/11 (0%) 23.182/21.111/26.932/1.689 ms 11 pps 11/0(0) pkts 1
