------------------------------------------------------------
Server listening on UDP port 8080
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[ *1] local 10.0.100.12%eth0 port 8080 connected with 10.0.100.2 port 58602 (reverse) (no-udp-fin) (trip-times) (sock=3) (peer 2.1.1-dev) on 2021-05-25 20:02:33 (UTC)
[ ID] Interval        Transfer     Bandwidth      Write/Err  PPS
[ *1] 0.00-1.00 sec  394800 Bytes  3158400 bits/sec  282/0      283 pps
[ *1] 1.00-2.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 2.00-3.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 3.00-4.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 4.00-5.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 5.00-6.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 6.00-7.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 7.00-8.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 8.00-9.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 9.00-10.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 10.00-11.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 11.00-12.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 12.00-13.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 13.00-14.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 14.00-15.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 15.00-16.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 16.00-17.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 17.00-18.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 18.00-19.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 19.00-20.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 20.00-21.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 21.00-22.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 22.00-23.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 23.00-24.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 24.00-25.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 25.00-26.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 26.00-27.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 27.00-28.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 28.00-29.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 29.00-30.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 30.00-31.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 31.00-32.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 32.00-33.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 33.00-34.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 34.00-35.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 35.00-36.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 36.00-37.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 37.00-38.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 38.00-39.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 39.00-40.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 40.00-41.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 41.00-42.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 42.00-43.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 43.00-44.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 44.00-45.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 45.00-46.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 46.00-47.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 47.00-48.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 48.00-49.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 49.00-50.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 50.00-51.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 51.00-52.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 52.00-53.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 53.00-54.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 54.00-55.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 55.00-56.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 56.00-57.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 57.00-58.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 58.00-59.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 59.00-60.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 60.00-61.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 61.00-62.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 62.00-63.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 63.00-64.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 64.00-65.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 65.00-66.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 66.00-67.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 67.00-68.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 68.00-69.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 69.00-70.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 70.00-71.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 71.00-72.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 72.00-73.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 73.00-74.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
