------------------------------------------------------------
Client connecting to 10.0.100.5, UDP port 5060 with pid 57 (1 flows)
Sending 1400 byte datagrams, IPG target: 87500.00 us (kalman adjust)
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[  1] local 60.60.0.2%uesimtun0 port 41601 connected with 10.0.100.5 port 5060 (reverse) (trip-times) (sock=3) on 2021-05-25 19:28:32 (UTC)
[ ID] Interval        Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  Rx/inP  NetPwr
[ *1] 0.00-1.00 sec  18200 Bytes  145600 bits/sec   1.962 ms 0/13 (0%) 22.246/17.441/27.259/7.283 ms 13 pps 13/0(0) pkts 1
[ *1] 1.00-2.00 sec  15400 Bytes  123200 bits/sec   1.819 ms 0/11 (0%) 23.704/21.657/26.947/1.487 ms 11 pps 11/0(0) pkts 1
[ *1] 2.00-3.00 sec  15400 Bytes  123200 bits/sec   2.362 ms 0/11 (0%) 23.321/19.733/29.661/3.343 ms 12 pps 11/0(0) pkts 1
[ *1] 3.00-4.00 sec  16800 Bytes  134400 bits/sec   2.538 ms 0/12 (0%) 23.840/18.850/28.164/2.752 ms 11 pps 12/0(0) pkts 1
[ *1] 4.00-5.00 sec  15400 Bytes  123200 bits/sec   3.956 ms 0/11 (0%) 25.046/20.064/31.867/4.033 ms 11 pps 11/0(0) pkts 1
[ *1] 5.00-6.00 sec  16800 Bytes  134400 bits/sec   3.983 ms 0/12 (0%) 23.879/16.593/29.508/3.366 ms 11 pps 12/0(0) pkts 1
[ *1] 6.00-7.00 sec  15400 Bytes  123200 bits/sec   3.926 ms 0/11 (0%) 24.001/18.138/29.952/3.601 ms 11 pps 11/0(0) pkts 1
[ *1] 7.00-8.00 sec  16800 Bytes  134400 bits/sec   4.416 ms 0/12 (0%) 23.112/16.512/29.800/4.152 ms 11 pps 12/0(0) pkts 1
[ *1] 8.00-9.00 sec  15400 Bytes  123200 bits/sec   3.664 ms 0/11 (0%) 22.830/18.294/28.337/2.716 ms 11 pps 11/0(0) pkts 1
[ *1] 9.00-10.00 sec  16800 Bytes  134400 bits/sec   3.799 ms 0/12 (0%) 23.135/17.497/27.107/3.130 ms 11 pps 12/0(0) pkts 1
[ *1] 10.00-11.00 sec  15400 Bytes  123200 bits/sec   4.216 ms 0/11 (0%) 24.670/18.426/30.373/3.338 ms 11 pps 11/0(0) pkts 1
[ *1] 11.00-12.00 sec  15400 Bytes  123200 bits/sec   4.371 ms 0/11 (0%) 26.243/19.097/31.266/3.659 ms 11 pps 11/0(0) pkts 1
[ *1] 12.00-13.00 sec  16800 Bytes  134400 bits/sec   4.564 ms 0/12 (0%) 22.900/17.202/30.128/4.157 ms 11 pps 12/0(0) pkts 1
[ *1] 13.00-14.00 sec  15400 Bytes  123200 bits/sec   4.319 ms 0/11 (0%) 23.122/19.219/29.339/2.882 ms 12 pps 11/0(0) pkts 1
[ *1] 14.00-15.00 sec  16800 Bytes  134400 bits/sec   3.996 ms 0/12 (0%) 23.539/16.023/28.228/3.538 ms 11 pps 12/0(0) pkts 1
[ *1] 15.00-16.00 sec  15400 Bytes  123200 bits/sec   3.177 ms 0/11 (0%) 24.174/20.485/28.969/2.502 ms 11 pps 11/0(0) pkts 1
[ *1] 16.00-17.00 sec  16800 Bytes  134400 bits/sec   3.336 ms 0/12 (0%) 23.811/18.962/27.713/2.937 ms 11 pps 12/0(0) pkts 1
[ *1] 17.00-18.00 sec  15400 Bytes  123200 bits/sec   2.920 ms 0/11 (0%) 24.017/19.982/29.140/2.670 ms 11 pps 11/0(0) pkts 1
[ *1] 18.00-19.00 sec  15400 Bytes  123200 bits/sec   3.017 ms 0/11 (0%) 23.167/19.040/27.310/2.456 ms 11 pps 11/0(0) pkts 1
[ *1] 19.00-20.00 sec  16800 Bytes  134400 bits/sec   3.270 ms 0/12 (0%) 22.711/16.553/27.675/3.235 ms 11 pps 12/0(0) pkts 1
[ *1] 20.00-21.00 sec  15400 Bytes  123200 bits/sec   3.724 ms 0/11 (0%) 23.778/18.619/29.656/3.937 ms 11 pps 11/0(0) pkts 1
[ *1] 21.00-22.00 sec  16800 Bytes  134400 bits/sec   3.284 ms 0/12 (0%) 22.354/18.834/27.444/2.498 ms 11 pps 12/0(0) pkts 1
[ *1] 22.00-23.00 sec  15400 Bytes  123200 bits/sec   2.978 ms 0/11 (0%) 22.128/16.096/25.353/2.427 ms 11 pps 11/0(0) pkts 1
[ *1] 23.00-24.00 sec  16800 Bytes  134400 bits/sec   3.487 ms 0/12 (0%) 23.640/18.586/30.875/3.233 ms 11 pps 12/0(0) pkts 1
[ *1] 24.00-25.00 sec  15400 Bytes  123200 bits/sec   3.108 ms 0/11 (0%) 22.246/18.267/25.180/2.221 ms 11 pps 11/0(0) pkts 1
[ *1] 25.00-26.00 sec  15400 Bytes  123200 bits/sec   2.895 ms 0/11 (0%) 22.525/18.190/27.248/2.757 ms 11 pps 11/0(0) pkts 1
[ *1] 26.00-27.00 sec  16800 Bytes  134400 bits/sec   3.285 ms 0/12 (0%) 22.752/16.126/28.590/3.948 ms 11 pps 12/0(0) pkts 1
[ *1] 27.00-28.00 sec  15400 Bytes  123200 bits/sec   3.491 ms 0/11 (0%) 23.193/18.783/28.688/2.595 ms 11 pps 11/0(0) pkts 1
[ *1] 28.00-29.00 sec  16800 Bytes  134400 bits/sec   3.174 ms 0/12 (0%) 24.365/19.186/27.305/2.432 ms 11 pps 12/0(0) pkts 1
[ *1] 29.00-30.00 sec  15400 Bytes  123200 bits/sec   3.054 ms 0/11 (0%) 24.090/18.995/27.853/2.578 ms 11 pps 11/0(0) pkts 1
[ *1] 30.00-31.00 sec  16800 Bytes  134400 bits/sec   3.391 ms 0/12 (0%) 22.729/17.386/28.820/3.183 ms 11 pps 12/0(0) pkts 1
[ *1] 31.00-32.00 sec  15400 Bytes  123200 bits/sec   4.127 ms 0/11 (0%) 24.355/18.295/28.961/3.641 ms 11 pps 11/0(0) pkts 1
[ *1] 32.00-33.00 sec  15400 Bytes  123200 bits/sec   4.444 ms 0/11 (0%) 22.917/18.498/29.327/3.504 ms 12 pps 11/0(0) pkts 1
[ *1] 33.00-34.00 sec  16800 Bytes  134400 bits/sec   4.146 ms 0/12 (0%) 22.667/18.500/27.486/3.113 ms 11 pps 12/0(0) pkts 1
[ *1] 34.00-35.00 sec  15400 Bytes  123200 bits/sec   3.583 ms 0/11 (0%) 23.603/20.361/26.312/2.041 ms 11 pps 11/0(0) pkts 1
[ *1] 35.00-36.00 sec  16800 Bytes  134400 bits/sec   3.403 ms 0/12 (0%) 22.380/16.173/25.455/2.628 ms 11 pps 12/0(0) pkts 1
[ *1] 36.00-37.00 sec  15400 Bytes  123200 bits/sec   3.770 ms 0/11 (0%) 23.316/18.507/29.278/3.589 ms 11 pps 11/0(0) pkts 1
[ *1] 37.00-38.00 sec  16800 Bytes  134400 bits/sec   3.017 ms 0/12 (0%) 24.594/19.992/29.937/3.116 ms 11 pps 12/0(0) pkts 1
[ *1] 38.00-39.00 sec  15400 Bytes  123200 bits/sec   3.267 ms 0/11 (0%) 22.538/15.261/26.316/3.130 ms 11 pps 11/0(0) pkts 1
[ *1] 39.00-40.00 sec  15400 Bytes  123200 bits/sec   3.061 ms 0/11 (0%) 23.539/20.417/27.903/2.445 ms 11 pps 11/0(0) pkts 1
[ *1] 40.00-41.00 sec  16800 Bytes  134400 bits/sec   3.643 ms 0/12 (0%) 24.454/18.367/28.957/3.521 ms 11 pps 12/0(0) pkts 1
[ *1] 41.00-42.00 sec  15400 Bytes  123200 bits/sec   3.162 ms 0/11 (0%) 24.617/22.036/28.341/2.162 ms 11 pps 11/0(0) pkts 1
[ *1] 42.00-43.00 sec  16800 Bytes  134400 bits/sec   3.488 ms 0/12 (0%) 24.611/20.414/30.111/3.055 ms 11 pps 12/0(0) pkts 1
[ *1] 43.00-44.00 sec  15400 Bytes  123200 bits/sec   2.951 ms 0/11 (0%) 23.392/20.555/26.294/2.414 ms 11 pps 11/0(0) pkts 1
[ *1] 44.00-45.00 sec  16800 Bytes  134400 bits/sec   2.606 ms 0/12 (0%) 22.835/19.418/27.462/2.196 ms 11 pps 12/0(0) pkts 1
[ *1] 45.00-46.00 sec  15400 Bytes  123200 bits/sec   3.218 ms 0/11 (0%) 21.157/15.937/25.165/2.920 ms 11 pps 11/0(0) pkts 1
[ *1] 46.00-47.00 sec  15400 Bytes  123200 bits/sec   2.813 ms 0/11 (0%) 22.637/19.360/28.238/2.336 ms 11 pps 11/0(0) pkts 1
[ *1] 47.00-48.00 sec  16800 Bytes  134400 bits/sec   2.620 ms 0/12 (0%) 22.552/16.756/25.440/2.392 ms 11 pps 12/0(0) pkts 1
[ *1] 48.00-49.00 sec  15400 Bytes  123200 bits/sec   2.863 ms 0/11 (0%) 23.360/16.624/28.378/3.217 ms 11 pps 11/0(0) pkts 1
[ *1] 49.00-50.00 sec  16800 Bytes  134400 bits/sec   3.236 ms 0/12 (0%) 22.907/18.204/28.185/3.185 ms 11 pps 12/0(0) pkts 1
[ *1] 50.00-51.00 sec  15400 Bytes  123200 bits/sec   4.008 ms 0/11 (0%) 22.788/17.410/28.997/3.948 ms 11 pps 11/0(0) pkts 1
[ *1] 51.00-52.00 sec  16800 Bytes  134400 bits/sec   3.243 ms 0/12 (0%) 23.363/19.174/26.718/2.468 ms 11 pps 12/0(0) pkts 1
[ *1] 52.00-53.00 sec  15400 Bytes  123200 bits/sec   2.656 ms 0/11 (0%) 22.918/17.131/25.006/2.272 ms 11 pps 11/0(0) pkts 1
[ *1] 53.00-54.00 sec  15400 Bytes  123200 bits/sec   2.815 ms 0/11 (0%) 22.621/17.590/26.934/2.967 ms 11 pps 11/0(0) pkts 1
[ *1] 54.00-55.00 sec  16800 Bytes  134400 bits/sec   2.909 ms 0/12 (0%) 21.092/17.468/25.453/2.355 ms 11 pps 12/0(0) pkts 1
[ *1] 55.00-56.00 sec  15400 Bytes  123200 bits/sec   2.991 ms 0/11 (0%) 23.948/19.986/29.749/3.397 ms 11 pps 11/0(0) pkts 1
[ *1] 56.00-57.00 sec  16800 Bytes  134400 bits/sec   3.849 ms 0/12 (0%) 24.314/15.951/28.881/3.756 ms 11 pps 12/0(0) pkts 1
[ *1] 57.00-58.00 sec  15400 Bytes  123200 bits/sec   4.218 ms 0/11 (0%) 22.208/17.488/31.056/3.914 ms 11 pps 11/0(0) pkts 1
[ *1] 58.00-59.00 sec  16800 Bytes  134400 bits/sec   3.339 ms 0/12 (0%) 24.307/20.466/30.058/2.686 ms 11 pps 12/0(0) pkts 1
[ *1] 59.00-60.00 sec  15400 Bytes  123200 bits/sec   2.669 ms 0/11 (0%) 22.797/20.795/25.604/1.934 ms 11 pps 11/0(0) pkts 1
[ *1] 60.00-61.00 sec  15400 Bytes  123200 bits/sec   2.677 ms 0/11 (0%) 21.510/16.892/24.858/2.630 ms 11 pps 11/0(0) pkts 1
[ *1] 61.00-62.00 sec  16800 Bytes  134400 bits/sec   3.389 ms 0/12 (0%) 22.328/16.659/28.273/3.665 ms 11 pps 12/0(0) pkts 1
[ *1] 62.00-63.00 sec  15400 Bytes  123200 bits/sec   3.275 ms 0/11 (0%) 23.273/19.754/28.163/2.611 ms 11 pps 11/0(0) pkts 1
[ *1] 63.00-64.00 sec  16800 Bytes  134400 bits/sec   3.133 ms 0/12 (0%) 24.006/20.144/27.856/2.601 ms 11 pps 12/0(0) pkts 1
[ *1] 64.00-65.00 sec  15400 Bytes  123200 bits/sec   3.369 ms 0/11 (0%) 23.449/17.136/28.286/3.762 ms 11 pps 11/0(0) pkts 1
[ *1] 65.00-66.00 sec  15400 Bytes  123200 bits/sec   3.893 ms 0/11 (0%) 23.569/19.516/28.207/2.906 ms 12 pps 11/0(0) pkts 1
[ *1] 66.00-67.00 sec  16800 Bytes  134400 bits/sec   3.921 ms 0/12 (0%) 23.776/19.363/28.667/2.809 ms 11 pps 12/0(0) pkts 1
[ *1] 67.00-68.00 sec  15400 Bytes  123200 bits/sec   4.231 ms 0/11 (0%) 24.829/18.262/30.072/4.042 ms 11 pps 11/0(0) pkts 1
[ *1] 68.00-69.00 sec  16800 Bytes  134400 bits/sec   3.621 ms 0/12 (0%) 22.472/16.531/26.665/3.125 ms 11 pps 12/0(0) pkts 1
[ *1] 69.00-70.00 sec  15400 Bytes  123200 bits/sec   3.780 ms 0/11 (0%) 22.911/16.842/30.472/3.767 ms 11 pps 11/0(0) pkts 1
[ *1] 70.00-71.00 sec  16800 Bytes  134400 bits/sec   3.933 ms 0/12 (0%) 23.929/18.390/29.465/3.359 ms 11 pps 12/0(0) pkts 1
[ *1] 71.00-72.00 sec  15400 Bytes  123200 bits/sec   4.113 ms 0/11 (0%) 23.862/18.254/29.571/3.410 ms 11 pps 11/0(0) pkts 1
[ *1] 72.00-73.00 sec  16800 Bytes  134400 bits/sec   4.006 ms 0/12 (0%) 23.280/18.671/27.007/2.962 ms 12 pps 12/0(0) pkts 1
[ *1] 73.00-74.00 sec  15400 Bytes  123200 bits/sec   3.709 ms 0/11 (0%) 24.889/22.110/31.932/3.252 ms 11 pps 11/0(0) pkts 1
[ *1] 74.00-75.00 sec  15400 Bytes  123200 bits/sec   3.433 ms 0/11 (0%) 24.439/20.680/27.948/2.356 ms 11 pps 11/0(0) pkts 1
[ *1] 75.00-76.00 sec  16800 Bytes  134400 bits/sec   2.609 ms 0/12 (0%) 24.782/21.047/28.012/2.278 ms 11 pps 12/0(0) pkts 1
[ *1] 76.00-77.00 sec  15400 Bytes  123200 bits/sec   2.642 ms 0/11 (0%) 22.155/18.121/24.687/2.200 ms 11 pps 11/0(0) pkts 1
[ *1] 77.00-78.00 sec  16800 Bytes  134400 bits/sec   2.405 ms 0/12 (0%) 23.104/20.488/26.772/1.782 ms 11 pps 12/0(0) pkts 1
[ *1] 78.00-79.00 sec  15400 Bytes  123200 bits/sec   2.898 ms 0/11 (0%) 21.252/16.775/25.706/2.696 ms 11 pps 11/0(0) pkts 1
[ *1] 79.00-80.00 sec  16800 Bytes  134400 bits/sec   3.337 ms 0/12 (0%) 22.572/18.701/28.344/3.205 ms 11 pps 12/0(0) pkts 1
[ *1] 80.00-81.00 sec  15400 Bytes  123200 bits/sec   4.599 ms 0/11 (0%) 23.950/15.604/30.262/4.033 ms 11 pps 11/0(0) pkts 1
[ *1] 81.00-82.00 sec  15400 Bytes  123200 bits/sec   3.514 ms 0/11 (0%) 22.651/18.614/26.236/2.618 ms 11 pps 11/0(0) pkts 1
[ *1] 82.00-83.00 sec  16800 Bytes  134400 bits/sec   2.822 ms 0/12 (0%) 23.672/20.558/27.830/2.228 ms 11 pps 12/0(0) pkts 1
[ *1] 83.00-84.00 sec  15400 Bytes  123200 bits/sec   2.592 ms 0/11 (0%) 25.090/19.620/28.269/2.670 ms 11 pps 11/0(0) pkts 1
[ *1] 84.00-85.00 sec  16800 Bytes  134400 bits/sec   4.024 ms 0/12 (0%) 24.289/15.569/29.512/4.367 ms 11 pps 12/0(0) pkts 1
[ *1] 85.00-86.00 sec  15400 Bytes  123200 bits/sec   3.515 ms 0/11 (0%) 22.373/16.101/27.439/3.203 ms 12 pps 11/0(0) pkts 1
[ *1] 86.00-87.00 sec  15400 Bytes  123200 bits/sec   3.708 ms 0/11 (0%) 21.851/14.780/28.444/3.591 ms 11 pps 11/0(0) pkts 1
[ *1] 87.00-88.00 sec  16800 Bytes  134400 bits/sec   3.212 ms 0/12 (0%) 24.551/19.590/28.874/2.845 ms 11 pps 12/0(0) pkts 1
[ *1] 88.00-89.00 sec  15400 Bytes  123200 bits/sec   3.721 ms 0/11 (0%) 24.048/20.802/29.367/2.919 ms 11 pps 11/0(0) pkts 1
